vocab,Freq
실북갤보고,2
치어리더,2
보여주는,2
시발아,2
봐야,2
본방충들,2
심쿵,2
보고싶다,2
되겠다,2
풍뎅이,2
다같이,2
고등학생,2
입갤하겠네,2
관련,2
안다고,2
끝나면,2
베스커빌가의개,2
하나요,2
교복치마,2
방송보고,2
성우,2
매주,2
쿈쉑,2
주딱,2
출연,2
야구는,2
노잼인건,2
내미는,2
컴터로,2
젖탱이,2
저능아,2
개구리,2
5위인가요,2
기대하넼,2
안나오노,2
해도,2
말하는,2
성적,2
찔렀냐,2
2위,2
아무래도,2
있으려나,2
물벼룩,2
움직이기삻데,2
명작이냐,2
4위,2
파이러츠,2
개좋네,2
커밍아웃,2
2016년에서,2
스미스,2
너때문이잖아,2
알았음,2
힘내랔,2
상상하노,2
계산기,2
대환장,2
멘고멘고,2
증거입니다,2
멸망,2
하루,2
시청자,2
위한,2
시작에,2
고딩이,2
안오면,2
와와와쓰레모노로,2
bd사는거,2
쿈씨발새끼,2
여자라구요,2
허벅지로,2
있었던,2
시작이,2
금방,2
히가시,2
양심,2
안남았네,2
키타wwwwwww,2
몰라요,2
16년이,2
모핑,2
저런,2
느낌,2
개털리네,2
일정,2
야붕이,2
가방,2
한시간,2
기대기대,2
테이블,2
살면,2
입니다,2
친구가,2
멘탈붕괴,2
젤리좌,2
몇명이,2
들어보고싶다,2
등장,2
저러는거내,2
차라리,2
하니까,2
수고했다,2
소설,2
여름,2
많네,2
헛소리는,2
다시보니까,2
극장판,2
작안의,2
브금,2
여객선,2
폰이,2
순정충,2
링크좀,2
일남충이,2
콜렉션,2
못함,2
어린이갤,2
개소린지,2
대나무,2
알아가지고,2
성우새끼,2
생각하는거봐랔,2
아는사람,2
30일을,2
킹갓,2
히루히,2
디씨,2
좋지,2
낳고,2
천번이,2
만들어옴,2
한번,2
도서관에서,2
맞냨,2
숙제하자,2
있는거,2
1분전,2
유호,2
10살이면,2
겨드랑이,2
들이밀더라,2
개웃기네진짜,2
레이드,2
입갤했네,2
시체가,2
방송하냐,2
선택,2
맨날,2
이노래가,2
놀러왔네,2
파고있놐,2
야짤,2
하고왔다,2
이름이냐고,2
씹머꼴,2
풀스택,2
기대되는군,2
범인이네,2
11화,2
매드무비,2
흑우없제,2
보는,2
듣고,2
머임,2
처음부터,2
9시에,2
향해,2
생리,2
웹사이트,2
백설공주,2
올라가노,2
이해했노,2
넘나좋,2
동굴,2
학교1등은,2
세컨드,2
염전주도,2
나는,2
새벽,2
액션물,2
왤케,2
개부럽내,2
에스오오에스나라다이조오부,2
반사광,2
행동력보소,2
기분,2
여름에,2
왔네,2
저정도,2
봤는데,2
찍어뒀지,2
닥치고,2
같은거,2
요즘,2
여름방학,2
아니랄까봐,2
아니고,2
입겔,2
동침,2
히오스,2
야스하네,2
들어갔네,2
조크,2
미안해,2
노래에,2
시발새끼,2
곱등이쉑,2
스폰서,2
눈을,2
비가,2
오네가이,2
만갤에,2
개기대중,2
트위치에서는,2
치마,2
눈이,2
올려주면,2
청춘,2
결국,2
자살하겠단거,2
대짜,2
분위기,2
야구부,2
쳤음,2
왔다,2
손놀림,2
