vocab,Freq
여기에,4
여고생,4
엔딩곡,4
없는거임,4
얼마,4
언젠가,4
언제쯤,4
어케됨,4
어떨까,4
어디서봄,4
얘들아,4
얘기는,4
야짤,4
애들,4
알파베타,4
알람,4
안들어,4
아무래도,4
아니라,4
씨발련아,4
실화냐,4
실북,4
시리즈를,4
스크린샷,4
스샷,4
스니커,4
수록,4
수능끝나고,4
소아온,4
소실보는날,4
세계,4
성격테스트,4
설명충,4
선배님,4
샤나,4
생일이다,4
생각나서,4
새끼들,4
상황,4
샀다,4
살아있네,4
사역마,4
사랑의,4
사람들이,4
사람들,4
사고싶다,4
비키니,4
블루레이,4
분석,4
부활,4
부실,4
봤다,4
보던,4
보는게,4
보는거,4
번역,4
배경화면,4
발언,4
미쿠,4
미리,4
뭐하는,4
뭐고,4
무슨일이,4
무료,4
몰랐는데,4
메일,4
머꼴,4
맞지,4
맞이,4
망애니,4
망갤,4
많은,4
만들어봄,4
만갤에,4
리스트,4
리빌드,4
로리,4
럭키스타,4
떡인지,4
디씨콘,4
등장인물,4
들었다,4
드라이브,4
드라마,4
됬나,4
되냐,4
되겠다,4
되게,4
됐다,4
데쇼,4
덕질,4
대사,4
단장님이랑,4
단장니뮤,4
다음권,4
다른거,4
니네,4
눈치,4
누나,4
념글,4
넨도,4
날카롭죠,4
날입니다,4
나조나조,4
나왔는데,4
나와서,4
나오는거같음,4
나무위키보면,4
나만,4
나름,4
끝났다,4
끝나면,4
끝까지,4
꿈을,4
꼬라지,4
기억이,4
기다리는,4
급식들,4
그와중에,4
그만해,4
그루브,4
그렇게,4
그런거,4
그러니까,4
그때,4
귀여움,4
구글,4
괜찮은,4
광고,4
공지에,4
계획,4
경악이,4
결말,4
게이야,4
갤의,4
갤럼,4
갤러리의,4
개꿀잼,4
감상,4
감사합니다,4
가즈아,4
가져옴,4
가슴에,4
가슴라인,4
가능,4
sos단에서,4
ost나옴,4
9일의,4
9시,4
9권,4
8년만에,4
7화,4
7월,4
7대,4
4일차,4
3행시,4
3일차,4
3기나,4
31일,4
2기가,4
25일,4
20대,4
2000번째,4
16일,4
16년,4
14일,4
12,4
10주년,4
10일,4
10년전에,4
히갤,3
흑흑,3
휴가,3
후속작,3
활기를,3
화장실,3
홍보하고,3
홍보글,3
홍보,3
호밍모드,3
혓바닥,3
현실에서,3
행복한,3
했는데,3
해야,3
해서,3
해본,3
해군,3
핫산,3
합니다,3
한참,3
한다,3
하바,3
하루를,3
하니까,3
하는법,3
하갤이,3
하갤러들이,3
하갤러들도,3
필요한,3
피해자,3
프로그램,3
폰이랑,3
폐쇄공간,3
평생,3
페이트,3
팔면,3
틀딱이냐,3
틀딱애니,3
타임리프,3
타이밍,3
타니구치쉑,3
타니가와도,3
키타고,3
쿈한테,3
쿈쉑,3
쿈군,3
쿄캐토,3
코타에와,3
코이즈미가178이나되냐,3
코스프레,3
코믹스,3
코드기어스,3
케장콘,3
컨텐츠는,3
커엽자너,3
커엽네,3
커여움,3
칼질,3
카와이,3
카드,3
카도카와때문이다,3
카구야,3
칠석이다,3
칠석까지,3
친구랑,3
친구들,3
친구가,3
치트키넼,3
치어리더,3
츤데레는,3
출연,3
축구,3
추천해도,3
추억이,3
최종병기그녀,3
최신,3
초콜릿,3
청춘돼지,3
처음으로,3
찾아보는데,3
찾기,3
차기작,3
짤녀는,3
진출,3
진짜냐,3
진지하게,3
지난,3
지나간,3
즐거운,3
중에,3
중고로,3
중계하노,3
중계달리고있노,3
준비,3
죽은,3
좋은게,3
좆같은,3
좀더미래인,3
졸예,3
존나길어,3
존나기넼,3
정신나가서,3
정모,3
정도면,3
정도,3
점은,3
전성기,3
저도,3
저건,3
재탕중,3
재밌지,3
재밌었다,3
재밌었겠는데,3
재밌는데,3
재밌나요,3
재밌게,3
재미있게,3
재미없는,3
재개봉,3
장면이,3
장면씩,3
잡이야기,3
잡고,3
잠시,3
잘만들었네,3
작가새끼,3
자작,3
있을까,3
있으니까,3
있었냐,3
있었구나,3
있는사람,3
있구나,3
입덕했는데,3
입덕해서,3
입덕한,3
입갤준빜,3
입갤wwwwwwwwwwwwwwwwwww,3
읽었다,3
읽어봤는데,3
일정,3
일상물,3
일상,3
일본은,3
일본어,3
일러스트,3
인터넷,3
인정하는,3
인싸들의,3
인기있는,3
인기가,3
이츠키,3
이츠모,3
이제보니,3
이정도면,3
이상한,3
이상하게,3
이쁘다,3
이모토쟝,3
이름이,3
이론,3
이래서,3
이것저것,3
이것도,3
이갤은,3
이갤도,3
윾키짱의,3
유혹하면,3
유포니엄,3
유키소실,3
유입,3
유일한,3
유물,3
유명한,3
위키백과,3
월드컵,3
월간,3
우울하고,3
우울도,3
요즘은,3
외계인,3
왜이러냐,3
완전히,3
완결은,3
완결났냐,3
와타시노,3
올해는,3
올해가,3
올린다,3
올렸다,3
올려주면,3
오후,3
오프닝에,3
오줌,3
오버워치,3
오늘이,3
오냐,3
예토전생을,3
예정,3
예상,3
영화는,3
연재를,3
역대,3
여기저기,3
여기도,3
여고생한테,3
엔드리스나이트,3
엑기스,3
에피소드에서,3
에피,3
에나,3
엉밑살,3
없나요,3
없나,3
언젠간,3
언제부터,3
언제까지,3
어서오십시오,3
어마금3기도,3
어릴때,3
어떻게되죠,3
어떠냐,3
어딨냐,3
어느,3
얘기가,3
얘기,3
양덕들의,3
양덕,3
야시간,3
야스해,3
야스,3
야루히,3
애미,3
애들은,3
애니보는,3
애니들,3
알고보면,3
않을까,3
않나,3
안오면,3
안맞는다,3
안나와,3
안나는데,3
아키하,3
아직까지,3
아주,3
아시는분,3
아스카,3
아사쿠라는,3
아무도,3
아닌,3
아니었어,3
아니씨발,3
아니다,3
아냐,3
씹틀딱애니,3
씹떡,3
씹덕질,3
씨발년아,3
쓸데없이,3
쒸불,3
싶은데,3
싫다,3
신인,3
신세대,3
신세기,3
신기한거,3
시험,3
시작한거,3
시작하는거,3
시리즈의,3
시라이시,3
시대가,3
시간이다,3
시간여행,3
시간도,3
스포,3
스즈미야콘생겼으면좋겠다,3
스즈미야쨩의,3
스미스,3
손가락,3
소재는,3
