vocab,Freq
파니까,1
파는구나,1
파네,1
틸핏의,1
틴캐시,1
티타임한다,1
특정캐릭터,1
특이한거같아,1
특별,1
트페나,1
트리플,1
트레이싱해도,1
튜토에서,1
튜토리얼,1
튕기냐,1
퇴물임,1
통상탄,1
토끼,1
터짐,1
터질듯,1
터진거,1
탕임,1
탑이지,1
탈피해야,1
탈출인줄,1
탄막후드,1
탄막에,1
탄막스킬,1
타섭은,1
킹종률이,1
키웠음,1
키워주고,1
키워야,1
키워서,1
키워놔라,1
키웁시다,1
키울게,1
키우다,1
키우고,1
키시요라서,1
클스세일때,1
클스마스,1
클블받는게,1
클블,1
클리어,1
클리블랜드,1
클라뜯어서,1
크크큭,1
크리스마스,1
크로스웨이브,1
크레딧,1
크게만,1
큐브의뢰,1
큐브연구,1
쿠폰,1
콤퓨타로,1
콘솔,1
코어,1
코스프레,1
코미케애서,1
코멘트랑,1
코멘으로,1
코난범인됬는데,1
컴플을,1
컨텐츠,1
컨셉이,1
컨셉,1
커엽,1
커여운,1
캡쳐해서,1
캘수있을까,1
캐신다운즈,1
캐릭터끼워가면,1
캐릭추가,1
캐릭스토리,1
캐릭들이,1
카페,1
카가나,1
칭송캐들은,1
칭송때문이었음,1
칭송때,1
치파오,1
치사량으로,1
치마,1
치고,1
취향,1
충전함,1
충분하던데,1
충격적인,1
충각한담에,1
출렁이는,1
출근하는데,1
추천하고,1
추천받음,1
추진,1
추날이,1
추가할거,1
추가잖아,1
추가로주는거,1
최초로,1
최적화,1
최대업적,1
최강맞지,1
총박이새끼들,1
초회,1
초청장뭐고르냐,1
초중탄거르고,1
초라해보이더라,1
초대하면,1
초대장이,1
쳐지지않고,1
체력,1
청소기가,1
청산,1
첫날에,1
첫끗발이,1
첫15초,1
첨먹어봄,1
철갑탄,1
철갑,1
처음에,1
처음보고,1
처음먹은,1
처먹을때까지,1
처먹었구나,1
처녀였다가,1
처녀,1
챙기고,1
채팅방,1
채워지면,1
참지못하고,1
참아야함,1
참고해,1
참고용,1
차별하네,1
차리지,1
찍은,1
쫄팟,1
쫄전에,1
쫄리는데,1
쪽빛,1
쩡임,1
짤좀,1
짤이별로없음,1
짤이,1
짤린지가,1
짤녀가,1
짜잔,1
짜르네,1
집에서,1
질렀음,1
질렀다,1
질렀네,1
진화하네,1
진츠작가,1
진짜네,1
진정이,1
진자,1
진영,1
진센밖에,1
직무유기,1
지옥의,1
지름,1
지른사람,1
지르냐,1
지랄이지,1
지랄났지,1
지들끼리,1
지금까지,1
증가랑,1
즐기는애들,1
즐겜러인듯,1
즈이운보다,1
즈언함카가,1
쥬노,1
줬냐,1
중첩되나,1
중앵항로로,1
중앵전함메타도,1
중앵이라는,1
중앵뽕,1
중순은,1
중순박이라,1
중순,1
중섭공개,1
중립적으로,1
줄여주면,1
줄것이지,1
준요는,1
준요,1
준비하는,1
준비만땅,1
준비는,1
준다,1
죽은사람이고,1
주잖아,1
주인공함선중,1
주실분,1
주문하신,1
주무르고,1
주머니에서,1
주는데,1
주는,1
주노이거,1
죶시요가,1
죠죠서기,1
좋을것같음,1
좋은데,1
좋은거,1
좋은,1
좋으믄,1
좋앗으몬,1
좋아하네,1
좋아서,1
좋아,1
좋습니다,1
좋드라,1
좋네,1
좋냐,1
좋나,1
좋긴한데,1
좋고,1
좋겠어,1
좆싱턴,1
