vocab,Freq
사랑,216
심청,216
애들아,216
생각했는데,216
있었음,216
대해,216
설마,215
알아,215
누구임,215
흥갤,215
미사키랑,215
모카,215
연애,214
오타에,214
많아서,214
백갤러들은,214
아카네,214
저번에,214
아주,213
2부,213
히토미,213
있습니다,213
대회,213
영상,212
아니라고,212
개념글,212
이번주,212
소녀전선,212
꾸금,212
어이,211
케이온,211
둘의방,211
올해,210
글고보니,210
빵도리,210
마음에,210
기분이,210
많아,210
어쩌다,210
서버,209
9화,209
타에,209
하루종일,209
백잘알,209
유선이,209
경녀,209
보냐,209
8화,208
차이,207
되는거,207
레즈섹스가,207
생각난다,207
어차피,207
2차,206
자고,206
7화,206
누구랑,206
그대가,206
햅쌀자매,206
돌아간다,206
소설은,206
최근,205
봤음,205
유즈메이,204
카스미랑,204
민트자매,204
나오는데,204
은정이,204
국내,204
노멀,204
좋아하면,203
반도리,203
와타텐,203
쿠미코,203
메아리,203
방도리에서,203
엄마가,203
그만,203
2010년,203
와꾸,202
원작,202
위증,202
아이스크림,202
중요한,202
백합보고,202
관련,202
이해가,202
스압,201
이제야,201
잘키스,201
영어로,201
여주,200
사람들이,200
백합이면,200
좋지않냐,200
그레이스,199
추천받는다,199
그런가,199
구함,199
네웹,199
단어,199
좋겠어,199
온리전,199
예쁜,198
린아코,198
우사세,198
ntr가,198
근친,198
나올,198
스팀,197
장르,197
유포,197
백갤럼이,197
시간이,197
떡밥이,197
도사의,197
여기가,197
어떨까,197
갠적으로,197
앤솔로지,196
신캐,196
찐백,196
하와와,196
공식에서,196
레즈가,196
좋았는데,196
근왜백,196
결혼,195
리디북스,195
등장,195
가학이,194
아침,194
최근에,194
공식이,194
치사토가,194
있다고,194
자러감,194
드는,194
12화,193
비슷한,193
현재,193
중인데,193
아스카,193
백합붐,193
있음에,193
보이는,193
되냐,193
무섭다,193
시험,192
당연히,192
좋을까,192
좋지만,192
사랑이,192
했다,192
귀여운거,192
노조에리,192
진짜로,192
디씨,192
절대,191
콜라보,191
샀는데,191
팩트,191
표정,191
데이터,191
싸우지말고,191
너모,191
총수가,190
유정천,190
아십니까,190
진지하게,190
최고다,189
누구냐,189
레섹하는거,189
말하는,189
유튜브,189
유혹수,189
진정한,189
나에게,189
나오냐,189
길들이기,188
포핀파,188
따로,188
봄툰,188
히로인,187
가학은,187
읽고,187
공주님,187
걸판,187
있어요,187
먼가,187
매일,187
3p,186
사이,186
평온한,186
자러가,186
히나사요는,186
고등학교,186
친구들,185
스타트,185
프렌즈,185
릿카아카,185
3권,184
나쁜쪽으로,184
좋은듯,184
오프닝,184
아니었나,184
회로가,184
가져옴,184
라는,184
행복하다,183
방도리가,183
괜찮은,183
갓겜,183
답은,183
만든,183
하다가,183
히카와,182
기념,182
넘나,182
나이,182
너네들,182
불쌍해,182
애니에서,181
이걸,181
진심,181
아시는분,181
백합작가,181
푸키먼,181
봤냐,181
무의미,181
슬로우,180
히나츠구,180
결과,180
감상,180
하는게,180
리리카,179
얼마,179
현실,179
끝까지,179
세상에,179
깔리는,179
굳이,179
괜히,179
파라메르,179
핫산요청,179
수지,178
릴리클,178
역자,178
월야,178
순수한,178
짧은,178
안녕하세요,178
주세요,178
번역기,178
이쁘다,178
아쉽다,178
남성향,178
데이트,177
애니가,177
집에서,177
타마요미,177
메루,177
남자가,177
게임이,176
이해,176
역키잡,176
해슈랖,176
캐릭,176
인기가,176
레이나,176
꽃에폭풍,176
라고,176
라면,176
쓰고싶다,176
자짤,175
11화,175
안나오냐,175
가서,175
부모님,175
리디,175
새벽,174
아래,174
우리가,174
너무좋다,174
라이프,174
심심해서,174
아틀리에,174
발할라,174
이야기가,174
니코마키,174
마음,174
흰둥이,174
모야,174
작품은,174
여중생,173
안녕,173
아리,173
이쁜,173
하로하피,173
재미있게,173
달래야,173
하나도,173
없으면,173
오늘부터,172
마음이,172
보는중인데,172
명일방주,172
알라딘에서,172
재업,171
그나마,171
얘드라,171
것은,171
개쩐다,171
다이아,170
앱글,170
죄다,170
하냐,170
모든것,170
없는거,170
볼만함,170
백합령,170
둘의,170
정보,169
카논,169
방도리갤,169
방순이,169
떡인지,169
럽샤인,169
타치바나관,169
프린세스,169
보셈,169
케모노,168
웃김,168
하치,168
사회인,168
